,output_21x2 A,output_21x2 D,output_21x2 B,output_13x4 A,output_13x4 D,output_13x4 B
A1CF,0.027835770520676775,0.02415018905380394,0.009167588555214226,0.021133510149492347,0.036008041470448844,0.015466179513069467
BOLL,0.01882079045998117,0.014562050163320482,0.005157917727554847,0.01975003888678099,0.018278689407421337,0.0050117936378427964
CELF1,0.02859439781248251,0.020463625468264898,0.007562789888755244,0.0226435259951939,0.02122686059414208,0.006976622174377035
CNOT4,0.019986225429977748,0.014659184599757506,0.0031352084622311384,0.023663153712758025,0.018926228434440483,0.005519848432696603
CPEB1,0.017640440164697055,0.021856453471950272,0.006103767092556,0.020685122227343304,0.022233887931601824,0.006235270177216035
DAZ3,0.025818577547079967,0.021341616871508193,0.007277054990755552,0.02387675637568376,0.020053308309652244,0.006467140616448765
DAZAP1,0.021816824851008002,0.020904298146834414,0.004953552856797511,0.0260759197198594,0.029883434487254643,0.005886561290786144
EIF4G2,0.02877038209521899,0.021485232598385584,0.005112798004904801,0.041241236220926604,0.038307331400894686,0.007646929075488485
ELAVL4,0.009515082416647863,0.006642996778792284,0.00338194928475901,0.009679974193654368,0.005970754249551091,0.0027364442823773695
ESRP1,0.020829020627732793,0.02902851057380436,0.0025587350089949835,0.01977357271021222,0.02482627873290229,0.0036710184492316886
EWSR1,0.027113773302344515,0.022458832303871804,0.004424189703894004,0.024050998707030743,0.01965795005583941,0.004794537411966661
FUBP1,0.02520649635819881,0.01796125898936932,0.01117748033296429,0.02976642551371145,0.02245187649362067,0.015083592297525239
FUBP3,0.014744421631580223,0.01350759943521697,0.004472861954966514,0.02004487778137996,0.022240275137368166,0.005564961287562144
FUS,0.0,0.0,0.0,0.026891306717922794,0.02630754924707563,0.014262341756198858
HNRNPA0,0.02023416655193147,0.016616038415451458,0.004173447057471699,0.027715518630745926,0.028030843506755894,0.0066264318357424625
HNRNPA1,0.017231534998931586,0.015054570030727955,0.0030432346983984603,0.02266184284107498,0.02194004356002628,0.004976267718807828
HNRNPA2B1,0.027706052709756932,0.025457093740084764,0.005045318129992817,0.026267827286214167,0.030997389053155838,0.008151653250077702
HNRNPC,0.01972435797822537,0.013566711529425709,0.007493357959089995,0.03319546480229848,0.019616368512298397,0.011802723474295625
HNRNPCL1,0.023912956346801306,0.018862100119529324,0.008941604210223941,0.040701518126947535,0.024215384956033762,0.009966149019543857
HNRNPD,0.016003965606585593,0.013381693360006981,0.006653105754271297,0.018382441413278085,0.018356857194506318,0.008868676386360488
HNRNPDL,0.015714876363511095,0.014502187170592653,0.005418899653242686,0.02255507283193436,0.022053816707187913,0.007793570025425813
HNRNPF,0.018473494462511494,0.021973328285947124,0.0029549163084443236,0.02093913840257722,0.022736008258235237,0.003853158816306113
HNRNPH2,0.01502751795224144,0.015264393602166332,0.002256181692063543,0.022120408150066703,0.022752514259213673,0.003951241153413569
HNRNPK,0.03399911770701678,0.028523788670562166,0.005472966598576441,0.014983815765818231,0.01829781160825395,0.003718938134712436
HNRNPL,0.036481113982242,0.025910829663684062,0.006794539213013789,0.02510072291405751,0.022373148899237444,0.004965076457154788
IGF2BP1,0.03380246429229015,0.026340651640444784,0.009786675610644998,0.03111014148704793,0.027301081207368808,0.016713694407084166
IGF2BP2,0.02599482859471801,0.023120341091111725,0.0074607978982575976,0.023953382335964828,0.024013951704391974,0.005569170343734859
