,13x4,13x4+BS,21x2,21x2+BS,Improvement 13x4,Improvement 21x2
A1CF,0.0020072277227722772,0.0008132673267326733,0.0028877227722772275,0.0014076237623762377,-0.5948305628175405,-0.5125488582596174
BOLL,0.0029298019801980196,0.0011654455445544555,0.0030144554455445545,0.00285,-0.6022101314588895,-0.05455560664783543
CELF1,0.002943762376237624,0.0013372277227722772,0.0034113861386138615,0.0030975247524752474,-0.5457419615229382,-0.09200406327093313
CNOT4,0.002962772277227723,0.0018388118811881189,0.0027686138613861387,0.0009526732673267327,-0.3793610479882369,-0.6559024425133212
CPEB1,0.0018634653465346535,0.0011916831683168316,0.00011574257425742574,0.0031105940594059406,-0.3605015673981192,25.875106928999145
DAZ3,0.0032234653465346534,0.0012577227722772278,0.0026565346534653464,0.002799207920792079,-0.6098227723684615,0.05370653348738408
DAZAP1,0.0024397029702970295,0.0012128712871287129,0.004093168316831683,0.003353069306930693,-0.5028610851832311,-0.1808132362545657
EIF4G2,0.001047029702970297,0.0011231683168316832,0.0014913861386138614,0.0006734653465346534,0.07271867612293148,-0.5484299276372568
ELAVL4,0.002564851485148515,0.0007379207920792079,0.003214653465346535,6.93069306930693e-07,-0.7122949237598919,-0.9997844031045953
ESRP1,0.0023884158415841583,0.0009026732673267327,0.0023274257425742574,0.0013396039603960396,-0.6220619325954483,-0.4244267664950866
EWSR1,0.0017472277227722772,0.001174158415841584,2.6534653465346535e-05,0.0006082178217821782,-0.32798775995919993,21.921641791044774
FUBP1,0.002162178217821782,0.0008350495049504951,0.002944950495049505,0.0002992079207920792,-0.6137924718380804,-0.8983996772458311
FUBP3,0.0022504950495049504,0.0015505940594059406,4.821782178217822e-05,0.002112970297029703,-0.31099868015838095,42.82135523613963
FUS,0.00280019801980198,0.0012083168316831684,0.00251009900990099,0.0013486138613861387,-0.5684887914574641,-0.46272483433259703
HNRNPA0,0.0003185148514851485,0.0011222772277227724,0.00260019801980198,0.003324059405940594,2.5234690705626366,0.2783870230751657
HNRNPA1,0.003447821782178218,0.0012228712871287129,0.0031687128712871286,0.001827821782178218,-0.6453206214283663,-0.4231658542682164
HNRNPA2B1,0.0024988118811881187,0.0012872277227722773,0.003073861386138614,0.0015442574257425743,-0.4848640938267691,-0.4976164401211106
HNRNPC,0.0004965346534653466,0.0006967326732673267,0.00014643564356435645,0.0019915841584158414,0.40319042871385813,12.600405679513182
