,,EIF4G2,EWSR1,FUS,HNRNPA1,HNRNPC,HNRNPK,HNRNPL,IGF2BP1,IGF2BP2,KHSRP,PCBP1,PUM1,RBFOX2,RBM22,TAF15,TARDBP,TIA1,TRA2A
AM_1,all,0.14948528145980378,0.18047437196373362,-0.02722583739341733,0.023865187310827984,0.3011627906976744,,-0.4030881273880531,-0.16560853439173084,-0.30862024750531614,0.0374545542807152,-0.6481481481481481,-0.1333333333333333,-0.07575525623773138,-0.3076923076923076,-0.04478224807736053,0.03128866432111743,-0.0003531930229830893,0.32462550004255686
AM_1,introns,0.07416661327866403,0.18803905258088527,0.010620828239141122,0.028642305524352096,0.27094849761917783,,-0.40448691835394024,-0.07895838566524349,-0.23820623091822324,0.02831519027285334,-0.7999999999999999,-0.31428571428571417,-0.05582076238837441,-0.5151515151515151,-0.057196223938613566,0.02898886827458247,0.003087546037694011,0.3111358257919701
AM_1,exons,0.16066481994459836,0.3076923076923077,0.036637589214908894,0.12237373737373725,0.5625000000000004,,-0.45114345114345134,0.0928782408926816,0.02185089974293053,0.14504331647188784,,,-0.10513036164844403,-0.33333333333333337,-0.1982207395051433,0.15801668211306774,-0.0010678391959797473,0.27217125382262974
AM_2,all,0.18745452210760605,0.11049315742927202,0.31079431526844314,0.06353543625494429,-0.02648316166411857,0.30626362629978576,-0.04126446824226604,-0.15300098361625403,-0.3227783997014766,-0.06273093106918537,,0.25,-0.05337619848230135,0.0,-0.030715294445180286,0.012001674295823772,0.01181669066491442,0.40682199759409454
AM_2,introns,0.1038154392191657,0.12235649546827787,0.24024024024024015,0.06733436213780375,-0.02754534692897026,0.333464725159216,-0.033851849373877974,-0.04200965302322046,-0.231685527099464,-0.05748852153560524,,inf,-0.055592037445690634,,-0.03424585368272315,-0.010351779942927797,0.012770285964559758,0.3734425247698776
AM_2,exons,0.10236686390532523,-0.11279953243717122,-0.0445086297992251,0.2545808375666594,0.03093573412508377,0.21212121212121215,-0.16433113518605735,-0.04252199413489732,-0.20665755564232746,-0.09066951566951564,,,0.09868578255675042,,-0.12662268567780377,0.218082191780822,0.026364532019704345,0.2407489125638278
AM_3,all,0.13075981106770085,0.04397902283590005,0.1277963236499675,0.0011679663400616658,-0.04754085289918886,0.0029093003402194118,0.1124885026726612,-0.1510384870550293,-0.021580635753864152,0.052220272194443584,-0.015772507483306164,-0.19773317591499417,-0.029782094768218692,0.5,0.23653395784543352,0.0019912667198713763,0.012962342161135343,0.34253260997140944
AM_3,introns,0.09110137765798143,0.0431034482758621,0.08290350665466306,-0.004822504329277555,-0.05100218970200998,0.020939619520264463,0.10494895937061077,-0.035788557578946945,-0.040322580645161255,0.0615731785944551,-0.011363636363636465,-0.11000663536137201,-0.04753291380746061,0.49999999999999956,0.39375250884939583,-0.03812539449320229,0.01868390898050243,0.30060019825060147
AM_3,exons,0.18796992481203012,-0.09039548022598864,0.0681775103065918,0.006510416666666963,0.010928961748633892,-0.029220779220779147,0.34315415821501016,0.1107064364207222,-0.3142857142857143,-0.1428571428571428,-0.1686274509803921,-0.2186697116757066,-0.06524390243902434,,-0.22168674698795177,0.18484042553191493,0.0042611683848794435,0.21838687628161302
AM_4,all,0.10921042211134879,0.015829550995911212,-0.06639246726183423,-0.07589814376803461,-0.02733019677769266,0.045634920634920695,-0.08786718585091347,-0.1369137007980068,-0.26937545223918336,-0.2376408134970216,-1.0,-0.1556160184813844,-0.012453556892549011,0.0,-0.040089525397252745,0.01840299466871964,0.011647158240687183,0.3838507897517922
