,C-GT,Cano,GT-C,GTEx
spliceai-400/Canonical; out=Cano,85.47134159143397,84.94646231366785,18.480901857284334,66.95930152717973
spliceai-400/GTEx; out=GTEx,85.19490517181049,82.01063755336273,25.85742883982278,69.66276735434491
spliceai-400/Cano+GTEx; out=Cano,82.29757155854153,78.90335222898733,21.393812830286112,68.68917586801547
spliceai-400/Cano+GTEx; out=GTEx,84.09965707887186,80.7229337252432,24.258120945292543,69.68272709563689
spliceai-400/C-GT; out=Cano,86.7135558821471,84.31660718034853,19.629335947270715,68.14854822136277
spliceai-10k/Canonical; out=Cano,87.19994401287704,90.20925187206943,17.546150361929914,65.24438629111556
spliceai-10k/GTEx; out=GTEx,89.79284764504165,85.32787458884457,33.60185757058141,73.88612715187
spliceai-10k/Cano+GTEx; out=Cano,89.19798446357338,83.37882287073973,28.48075455153069,72.93144308005324
spliceai-10k/Cano+GTEx; out=GTEx,87.49387640842605,81.25131219819441,33.754312593037014,74.35450865067111
spliceai-10k/C-GT; out=Cano,91.8468752186997,87.7038281195325,21.098338555129324,69.75514090405457
FM/Canonical; out=Cano,68.55973126180979,66.76114493666456,13.759864218830995,56.96260148161591
FM/GTEx; out=GTEx,65.86535096927706,63.55588214710617,17.58459619874608,56.6028897531873
FM/Cano+GTEx; out=Cano,68.08733991182028,66.1662817551963,14.947173519391438,57.14312381945712
FM/Cano+GTEx; out=GTEx,67.73742039330955,65.6414024774302,16.21133911447307,57.20129197015738
FM/C-GT; out=Cano,67.55546224368396,65.5434250122472,14.059826816677957,56.2244733483714
AM_21x2/Canonical; out=Cano,78.82986913010008,80.15606410525578,16.507373826913103,63.163705753278535
AM_21x2/GTEx; out=GTEx,78.40646651270208,75.81706207572259,22.430759300372287,65.54611237382643
AM_21x2/Cano+GTEx; out=Cano,79.80964378193016,77.72762264679123,17.93595740843894,64.8350611678209
AM_21x2/Cano+GTEx; out=GTEx,79.86913010007699,77.59115403457204,19.843483294771712,65.51343076432828
AM_21x2/C-GT; out=Cano,80.7754216530198,78.67240534677025,18.508869044638242,65.21446747152795
AM_13x4-nsp/Canonical; out=Cano,78.78437959269368,80.23654559451326,16.24673350295366,63.07777874725148
AM_13x4-nsp/GTEx; out=GTEx,79.42823150675345,76.99629085310377,22.884202110827122,66.04101311751054
AM_13x4-nsp/Cano+GTEx; out=Cano,81.84617537966268,79.7816502204493,19.633001705626945,66.07777561975662
AM_13x4-nsp/Cano+GTEx; out=GTEx,81.81468262299671,79.50871299601093,21.625031402981488,66.65441724404192
AM_13x4-nsp/C-GT; out=Cano,81.2443138078242,79.34425082231087,18.902079722452804,65.29997354684328
