,metric,context,cluster,first,second,metric value
0,top 64 5mer overlap,LM,1,LM13,HNRNPA2B1,0.140625
1,top 64 5mer overlap,LM,1,LM14,ESRP1,0.375
2,top 64 5mer overlap,LM,1,LM15,PCBP4,0.609375
3,top 64 5mer overlap,LM,1,LM21,HNRNPA1L2,0.25
4,top 64 5mer overlap,LM,1,LM22,ZC3H18,0.328125
5,top 64 5mer overlap,LM,1,LM25,MSI1,0.265625
6,top 64 5mer overlap,LM,1,LM37,SAFB2,0.359375
7,top 64 5mer overlap,LM,1,LM41,UNK,0.15625
8,top 64 5mer overlap,LM,1,LM45,HNRNPA1,0.234375
9,top 64 5mer overlap,LM,1,LM50,RBM25,0.34375
10,top 64 5mer overlap,LM,1,LM55,ESRP2,0.40625
11,top 64 5mer overlap,LM,1,LM6,IGF2BP3,0.25
12,top 64 5mer overlap,LM,1,LM72,PCBP2,0.296875
13,top 64 5mer overlap,LM,1,LM77,NSUN2,0.328125
14,top 64 5mer overlap,LM,1,LM89,Pcbp2_dr,0.265625
15,top 64 5mer overlap,LM,1,A1CF,-,-
16,top 64 5mer overlap,LM,1,HNRNPAB_tn,-,-
17,top 64 5mer overlap,LM,1,HNRNPF,-,-
18,top 64 5mer overlap,LM,1,HNRNPL,-,-
19,top 64 5mer overlap,LM,1,HNRPLL,-,-
20,top 64 5mer overlap,LM,1,IGF2BP1,-,-
21,top 64 5mer overlap,LM,1,KHDRBS1,-,-
22,top 64 5mer overlap,LM,1,KHDRBS1_mm,-,-
23,top 64 5mer overlap,LM,1,KHDRBS2,-,-
24,top 64 5mer overlap,LM,1,PABPC4,-,-
25,top 64 5mer overlap,LM,1,PPP1R10,-,-
26,top 64 5mer overlap,LM,1,PUF60,-,-
27,top 64 5mer overlap,LM,1,PUM1,-,-
28,top 64 5mer overlap,LM,1,RBM28,-,-
29,top 64 5mer overlap,LM,1,RBMS1,-,-
30,top 64 5mer overlap,LM,1,RBMS2,-,-
31,top 64 5mer overlap,LM,1,RBMS3,-,-
32,top 64 5mer overlap,LM,1,SNRPA,-,-
33,top 64 5mer overlap,LM,2,LM10,PABPN1,0.109375
34,top 64 5mer overlap,LM,2,LM67,RBM22,0.09375
35,top 64 5mer overlap,LM,2,LM8,Rbm4.3_dr,0.34375
36,top 64 5mer overlap,LM,2,LM94,ZC3H10,0.21875
37,top 64 5mer overlap,LM,2,LM38,-,-
38,top 64 5mer overlap,LM,2,LM69,-,-
39,top 64 5mer overlap,LM,6,LM20,SRSF9,0.34375
40,top 64 5mer overlap,LM,6,LM3,SRSF2,0.171875
41,top 64 5mer overlap,LM,6,LM35,ZNF326,0.1875
42,top 64 5mer overlap,LM,6,LM4,FXR1,0.390625
43,top 64 5mer overlap,LM,6,LM40,PABPC5,0.4375
44,top 64 5mer overlap,LM,6,LM42,FXR2,0.203125
45,top 64 5mer overlap,LM,6,LM44,HNRNPK,0.265625
46,top 64 5mer overlap,LM,6,LM56,FMR1,0.34375
47,top 64 5mer overlap,LM,6,LM70,RBM47_gg,0.328125
48,top 64 5mer overlap,LM,6,LM80,PABPC3,0.125
49,top 64 5mer overlap,LM,6,LM9,SRSF1,0.4375
50,top 64 5mer overlap,LM,6,LM91,RBFOX3,0.15625
51,top 64 5mer overlap,LM,6,EIF4G2,-,-
52,top 64 5mer overlap,LM,6,G3BP2,-,-
53,top 64 5mer overlap,LM,6,RBM23,-,-
54,top 64 5mer overlap,LM,6,RBM45,-,-
55,top 64 5mer overlap,LM,6,RBM4B,-,-
56,top 64 5mer overlap,LM,6,RBM5,-,-
57,top 64 5mer overlap,LM,6,SNRNP70,-,-
58,top 64 5mer overlap,LM,6,SUCLG1,-,-
59,top 64 5mer overlap,LM,6,YBX1,-,-
60,top 64 5mer overlap,LM,8,LM61,DAZAP1,0.25
61,top 64 5mer overlap,LM,8,LM62,APOBEC3C,0.234375
62,top 64 5mer overlap,LM,8,LM75,AKAP8L,0.484375
63,top 64 5mer overlap,LM,8,LM92,Rbm47_xt,0.203125
64,top 64 5mer overlap,LM,8,LM36,-,-
65,top 64 5mer overlap,LM,8,LM48,-,-
66,top 64 5mer overlap,LM,8,LM51,-,-
67,top 64 5mer overlap,LM,8,LM65,-,-
68,top 64 5mer overlap,LM,8,LM68,-,-
69,top 64 5mer overlap,LM,8,LM73,-,-
70,top 64 5mer overlap,LM,8,LM83,-,-
71,top 64 5mer overlap,LM,9,LM33,FUBP1,0.28125
72,top 64 5mer overlap,LM,9,LM86,MATR3,0.15625
73,top 64 5mer overlap,LM,9,A1CF_gg,-,-
74,top 64 5mer overlap,LM,9,BOLL,-,-
75,top 64 5mer overlap,LM,9,CPEB1,-,-
76,top 64 5mer overlap,LM,9,CPEB2,-,-
77,top 64 5mer overlap,LM,9,CPEB4,-,-
78,top 64 5mer overlap,LM,9,ELAVL4,-,-
79,top 64 5mer overlap,LM,9,FUBP3,-,-
80,top 64 5mer overlap,LM,9,HNRNPA0,-,-
81,top 64 5mer overlap,LM,9,HNRNPC,-,-
82,top 64 5mer overlap,LM,9,HNRNPD,-,-
83,top 64 5mer overlap,LM,9,HNRNPDL,-,-
84,top 64 5mer overlap,LM,9,HNRNPH2,-,-
85,top 64 5mer overlap,LM,9,HuR,-,-
86,top 64 5mer overlap,LM,9,ILF2,-,-
87,top 64 5mer overlap,LM,9,KHDRBS3,-,-
88,top 64 5mer overlap,LM,9,MBNL1,-,-
89,top 64 5mer overlap,LM,9,PABPC1,-,-
90,top 64 5mer overlap,LM,9,PCBP1_mm,-,-
91,top 64 5mer overlap,LM,9,PRR3,-,-
92,top 64 5mer overlap,LM,9,RALY,-,-
93,top 64 5mer overlap,LM,9,RBM15B,-,-
94,top 64 5mer overlap,LM,9,RBM24,-,-
95,top 64 5mer overlap,LM,9,RBM38_mm,-,-
96,top 64 5mer overlap,LM,9,RBM47,-,-
97,top 64 5mer overlap,LM,9,RC3H1,-,-
98,top 64 5mer overlap,LM,9,Rbm38_dr,-,-
99,top 64 5mer overlap,LM,9,SFPQ,-,-
100,top 64 5mer overlap,LM,9,SNRPB2,-,-
101,top 64 5mer overlap,LM,9,TDRD10,-,-
102,top 64 5mer overlap,LM,9,TIA1,-,-
103,top 64 5mer overlap,LM,9,TRA2B,-,-
104,top 64 5mer overlap,LM,9,TRNAU1AP,-,-
105,top 64 5mer overlap,LM,9,TUT1,-,-
106,top 64 5mer overlap,LM,9,U2AF2,-,-
107,top 64 5mer overlap,LM,9,ZC3H14,-,-
108,top 64 5mer overlap,LM,9,ZFP36,-,-
109,top 64 5mer overlap,LM,9,ZFP36L1,-,-
110,top 64 5mer overlap,LM,9,ZFP36L2,-,-
111,top 64 5mer overlap,LM,10,LM31,LIN28A,0.3125
112,top 64 5mer overlap,LM,10,LM34,YBX2,0.3125
113,top 64 5mer overlap,LM,10,LM5,ANKHD1,0.421875
114,top 64 5mer overlap,LM,10,LM59,SAMD4A,0.296875
115,top 64 5mer overlap,LM,10,LM60,SRSF7,0.5
116,top 64 5mer overlap,LM,10,LM64,Rbm42_xt,0.171875
117,top 64 5mer overlap,LM,10,LM71,TAF15,0.140625
118,top 64 5mer overlap,LM,10,LM79,TROVE2,0.296875
119,top 64 5mer overlap,LM,10,LM88,TRA2A,0.40625
120,top 64 5mer overlap,LM,10,LM19,-,-
121,top 64 5mer overlap,LM,10,LM26,-,-
122,top 64 5mer overlap,LM,10,LM28,-,-
123,top 64 5mer overlap,LM,10,LM30,-,-
124,top 64 5mer overlap,LM,10,LM43,-,-
125,top 64 5mer overlap,LM,10,LM46,-,-
126,top 64 5mer overlap,LM,10,LM49,-,-
127,top 64 5mer overlap,LM,10,LM54,-,-
128,top 64 5mer overlap,LM,10,LM57,-,-
129,top 64 5mer overlap,LM,10,LM58,-,-
130,top 64 5mer overlap,LM,10,LM74,-,-
131,top 64 5mer overlap,LM,10,LM76,-,-
132,top 64 5mer overlap,LM,10,LM78,-,-
133,top 64 5mer overlap,LM,10,LM87,-,-
134,top 64 5mer overlap,LM,10,LM95,-,-
135,top 64 5mer overlap,LM,10,LM97,-,-
136,top 64 5mer overlap,LM,12,LM27,PPRC1,0.25
137,top 64 5mer overlap,LM,12,LM82,RBM8A,0.28125
