,length,mean [acc],"('lssi', 'full') [acc]","('spliceai-400', 'full') [acc]","('spliceai-10k', 'full') [acc]","('spliceai-400', 'wbl') [acc]","('spliceai-10k', 'wbl') [acc]","('spliceai-400', 'tos') [acc]","('spliceai-10k', 'tos') [acc]","('AM', 'full') [acc]","('FM', 'full') [acc]","('AM', 'wbl') [acc]","('FM', 'wbl') [acc]","('AM', 'tos') [acc]","('FM', 'tos') [acc]",mean [mean score],"('lssi', 'full') [mean score]","('spliceai-400', 'full') [mean score]","('spliceai-10k', 'full') [mean score]","('spliceai-400', 'wbl') [mean score]","('spliceai-10k', 'wbl') [mean score]","('spliceai-400', 'tos') [mean score]","('spliceai-10k', 'tos') [mean score]","('AM', 'full') [mean score]","('FM', 'full') [mean score]","('AM', 'wbl') [mean score]","('FM', 'wbl') [mean score]","('AM', 'tos') [mean score]","('FM', 'tos') [mean score]"
AZIN2,39282,0.6503496503496504,0.4090909090909091,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.8181818181818182,0.5454545454545454,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.7272727272727273,0.5454545454545454,0.5454545454545454,0.5454545454545454,1.5548416307296087,0.9461738369311209,3.164903460404305,2.773940070990623,1.401970938272716,1.2847052513647057,0.740116980003902,1.7392175040249425,1.841575148447209,1.464770436578494,2.0227146144733488,1.1173564571445196,1.022801187674407,0.6926953131746167
PRUNE,27237,0.8351648351648351,0.42857142857142855,1.0,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,0.9285714285714286,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.6428571428571429,0.6428571428571429,1.9752872316821277,0.9913761339804888,4.2229029222135575,3.6475413243427854,1.7095476870637951,1.596747316500032,1.023165272925137,2.218679563890728,2.6042834345023897,1.8125416497270128,2.460154723998459,1.3736855768677931,1.1792550181994168,0.8388533876560629
C1orf21,241963,0.8461538461538463,0.5,0.9,1.0,0.8,0.9,0.8,0.9,1.0,0.9,0.9,0.9,1.0,0.5,2.1138704167324045,1.1246629410538287,3.9009565122347105,3.612697908958233,1.6336287579632685,1.5195916345349691,1.0310099478392838,2.616500263762923,2.8980625480124083,2.3278882373598764,2.7306763383952553,1.5975406570296653,1.8461728934555555,0.6409267769212847
LIN9,78577,0.695054945054945,0.25,1.0,1.0,0.8571428571428571,1.0,0.4642857142857143,0.6785714285714286,0.9285714285714286,0.75,0.6428571428571429,0.6071428571428571,0.4642857142857143,0.39285714285714285,1.73958214467088,0.7013328951279847,4.242729443190462,3.619621302481247,1.5978351581026922,1.5729253086237285,0.5997011675669414,1.7029554805036842,2.5125072740063996,1.7537239171237577,1.7599468602070185,1.1767430712613953,0.8321876117252417,0.5423583908008862
C1orf159,34276,0.7393162393162391,0.5,0.7777777777777778,1.0,0.8888888888888888,1.0,0.5555555555555556,0.7777777777777778,0.6666666666666666,0.5,0.8333333333333334,0.6666666666666666,0.7222222222222222,0.7222222222222222,1.7342060894744162,1.0980631229896427,3.309760405893338,3.2870168019424484,1.5875986634476194,1.5813396230913144,0.7202440174284949,2.2049067297219964,1.562966229396799,1.3077473835763238,2.33850914690606,1.2705277675941753,1.309966387320131,0.9660328838590709
ICMT,14748,0.7980769230769231,0.25,0.875,1.0,0.625,1.0,0.5,0.625,1.0,1.0,1.0,1.0,0.75,0.75,1.903455604461243,0.8403635523632396,3.157111036757961,3.486557186497181,1.183350017275846,1.5881319676715289,0.5870517537185398,1.8622120375535074,2.770429415625519,2.2403791336961008,2.941610457727353,1.635908255156961,1.483061939987512,0.9687561039649095
PINK1,18057,0.8186813186813188,0.5,0.9285714285714286,1.0,0.9285714285714286,1.0,0.6428571428571429,0.7857142857142857,0.9285714285714286,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.6428571428571429,1.928778557024935,1.239502516761862,3.8503240689470046,3.644223372728259,1.6694150651985507,1.554141384370673,0.8268027931309039,2.0530115454381055,2.3397345541659833,1.713370639216275,2.3395180280178813,1.3904976938353901,1.5807850124947433,0.8727945670185241
CCDC30,171526,0.605263157894737,0.21052631578947367,0.868421052631579,0.9210526315789473,0.7631578947368421,0.8947368421052632,0.39473684210526316,0.5,0.8157894736842105,0.4473684210526316,0.5789473684210527,0.4473684210526316,0.5263157894736842,0.5,1.5271866717643667,0.5305757553192403,3.84671113784215,3.2457062494478173,1.3670465619136152,1.4186544970421127,0.4843106514562574,1.5509343508517635,2.128561887196003,1.1819033263199936,1.5548715667555444,0.9023662131330893,0.990141089897374,0.6516434457618113
RNF220,246530,0.7500000000000001,0.42857142857142855,0.9285714285714286,0.9285714285714286,0.8928571428571429,0.7857142857142857,0.7142857142857143,0.6785714285714286,0.75,0.7142857142857143,0.8214285714285714,0.5714285714285714,0.8571428571428571,0.6785714285714286,1.8119294985188215,1.0302087900400825,4.037122556946907,3.2706930230521793,1.5809591080991787,1.3353561696398906,0.8454746361139703,1.8873747248542823,2.1127475198946404,1.6074204819563487,2.1634424571848743,1.1793043844876028,1.5557341044405864,0.9492455240341355
TCEANC2,52482,0.875,0.25,1.0,1.0,1.0,1.0,0.75,0.875,1.0,0.875,1.0,1.0,1.0,0.625,2.1475998203178928,0.7918181932940329,4.644148713229424,3.5761799793846722,1.7321950396141963,1.585380345839387,0.8764269648403794,2.5109204266060585,2.8011994021487405,2.153129039160539,2.9197975807492096,1.6574699590530417,1.849302089224902,0.8208299309880196
FGGY,465740,0.7,0.3,1.0,0.9666666666666667,0.9666666666666667,0.9,0.5333333333333333,0.7,0.8,0.6,0.7,0.6333333333333333,0.5666666666666667,0.43333333333333335,1.7048659566576327,0.7484519670322926,4.4120580174758475,3.275851472994157,1.73106324523857,1.4669700143438054,0.6771369312765377,2.006381118586477,2.0465139063018105,1.261254751628202,1.8220773519829878,1.082602191007825,1.0703745812281928,0.5625218874525236
ITGB3BP,82443,0.5721153846153846,0.0625,0.75,0.875,0.6875,0.875,0.3125,0.3125,0.75,0.75,0.5625,0.75,0.5,0.25,1.3596450744952515,0.40659315681327285,3.0456573996035052,2.92247470666776,1.2310494484645509,1.3466363394194096,0.4111248303826742,0.7513236631079765,2.073717878191114,1.6328512120022705,1.2637835823616612,1.3231906120856094,0.9440213627213925,0.3229617766170697
CACHD1,222267,0.7159763313609468,0.25,0.9807692307692307,1.0,0.8653846153846154,0.9615384615384616,0.5192307692307693,0.5384615384615384,0.9615384615384616,0.6730769230769231,0.8076923076923077,0.6538461538461539,0.5961538461538461,0.5,1.772103980098887,0.7206602203399376,4.123327904903546,3.6344241095873957,1.5694656441614259,1.5183276347966084,0.6786452924199083,1.50252075942938,2.510432724041386,1.59042635612759,2.1902838828720013,1.1810154794368406,1.151479517282333,0.6663422158871748
